Row,OFD,PFD
RC02098_I,0,0
RC02099_I,0,0
RC02100_I,0,0
RC02101_I,0,0
RC02102_I,0,0
RC02103_I,0.057178843,0.100940023
RC02107_I,0.01,0
RC02110_I,0.01,0.01
RC02124_I,-0.01,-1.593440906
RC02142_I,0,0
RC02147_I,0.334957595,0.368836613
RC02173_I,0,0
RC02186_I,0.016115244,0.016115244
RC02222_I,0.214732145,0.144491488
RC02235_I,0.003609494,0.000432462
RC02236_I,0,0
RC02239_I,0.01,0
RC02240_I,0.217205657,0.153306878
RC02241_I,0.075629703,0.089136921
RC02245_I,0.313413155,0.313413155
RC02250_I,0.01,0
