,Body_wall_muscle,Glia,Gonad,Hypodermis,Neurons,Pharynx
RCC0181_I,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0.00E+00
RCC0181_X,0.01,0.01,0.01,0.01,0.01,0.01
RCC0185_I,0,-6.82E-13,0,0,0,0.00E+00
RCC0185_X,0.01,0.01,0.01,0.01,0.01,0
RCC0200_I,0,0,0,0,0,0
RCC0200_X,0,0,0,0.06,0,0
RCC0201_I,0,0,0,0,0,0
RCC0201_X,0,0,0,0.01,0,0
RCC0202_I,0,0,0,0,0,0
RCC0202_X,0,0,0,0.01,0,0
RCC0203_I,0,0,0,0,0,0
RCC0203_X,0,0,0,0.01,0,0
RCC0204_I,0,0,0,0,0,0
RCC0204_X,0,0,0,0.01,0,0
RCC0205_I,0,0,0,0,0,0
RCC0205_X,0,0,0,0.01,0,0
RCC0206_I,0,0,0,0,0,0
RCC0206_X,0,0,0,0.03,0,0
RCC0207_I,0,0,0,0,0,0
RCC0207_X,0,0,0,0.04,0,0
RCC0208_I,0,0,0,0,0,0
RCC0208_X,0,0,0,0.01,0,0
RCC0209_I,0,0,0,0,0,0
RCC0209_X,0,0,0,0.01,0,0
RCC0210_I,0,0,0,0,0,0
RCC0210_X,0,0,0,0.05,0,0
RCC0211_I,0,0,0,0,0,0
RCC0211_X,0,0,0,0.01,0,0
RCC0212_I,0,0,0,0,0,0
RCC0212_X,0,0,0,0.01,0,0
RCC0213_I,0,0,0,0,0,0
RCC0213_X,0,0,0,0.01,0,0
RCC0214_I,0,0,0,0,0,0
RCC0214_X,0,0,0,0.04,0,0
RCC0215_I,0,0,0,0,0,0
RCC0215_X,0,0,0,0.04,0,0
RCC0216_I,0,0,0,0,0,0
RCC0216_X,0,0,0,0.04,0,0
RCC0217_I,0,0,0,0,0,0
RCC0217_X,0,0,0,0.04,0,0
RCC0218_I,0,0,0,0,0,0
RCC0218_X,0,0,0,0.04,0,0
RCC0219_I,0,0,0,0,0,0
RCC0219_X,0,0,0,0.01,0,0
RCC0222_I,0,0,0,0,0,0
RCC0222_X,0,0,0,0.01,0,0
RCC0223_I,0,0,0,0,0,0
RCC0223_X,0,0,0,0.01,0,0
RCC0250_I,0,0,0,0,0,0
RCC0250_X,0,0.01,0.01,0.01,0.01,0.01
