Row,Hypodermis,Gonad,Glia,Pharynx,Body_wall_muscle,Neurons
RM03657_I,0,0,0,0,0,0
RM03657_X,0.0398928836000281,0.0398928836000173,0.0398928835967478,0.0398928836000141,0.0398928837796624,0.0398928836000281
RM03658_I,0,0,0,0,0,0
RM03658_X,0.0348223435326957,0.0348223435326862,0.0348223435298323,0.0348223435326835,0.0348223436894978,0.0348223435326957
RM03659_I,0,0,0,0,0,0
RM03659_X,0.00994660165859496,0.00994660165859226,0.00994660165777708,0.00994660165859147,0.00994660170338368,0.00994660165859495
RM03660_I,0,0,0,0,0,0
RM03660_X,0.0173046948006996,0.0173046948006949,0.0173046947992766,0.0173046948006935,0.0173046948786212,0.0173046948006996
RM03661_I,0,0,0,0,0,0
RM03661_X,0.0210221508707757,0.02102215087077,0.0210221508690471,0.0210221508707683,0.0210221509654367,0.0210221508707757
RM03662_I,0,0,0,0,0,0
RM03662_X,0.022275078452856,0.02227507845285,0.0222750784510244,0.0222750784528482,0.0222750785531588,0.022275078452856
RM03663_I,0,0,0,0,0,0
RM03663_X,0.0242456316116342,0.0242456316116277,0.0242456316096406,0.0242456316116257,0.0242456317208103,0.0242456316116342
RM03664_I,0,0,0,0,0,0
RM03664_X,0.00434853872492293,0.00434853872492175,0.00434853872456536,0.0043485387249214,0.00434853874450404,0.00434853872492293
RM03665_I,0,0,0,0,0,0
RM03665_X,0.0365157648630743,0.0365157648630644,0.0365157648600717,0.0365157648630615,0.0365157650275018,0.0365157648630743
RM03758_I,0,0,0,0,0,0
RM03758_X,0,0,0,0,0,0
RM03776_I,0,2.94199457285007,0,0,6.11046641007816,0
RM03776_X,0,0,0,0,0,0
RM03777_I,0.0216838647422616,3.01936313397243,0.265775929091921,0.0642177349229068,6.18052384677357,0.0305169156868143
RM03777_X,0.0715995127991335,0.0101672301596777,0.00152009275886493,0.0200436729657662,0.0844731657264487,0.0200334863329662
