wbid	Neurons	Gonad	Hypodermis	Pharynx	Body_wall_muscle	Glia	Intestine
WBGene00000082	10.2681210992	2.28835372236	578.60963214	66.7975385766	4.55694601886	531.691200815	43.3248613582
WBGene00000083	7.124765207	1.39095787046	229.173266285	4.54317844525	8.41846208028	188.983720301	4.19790318097
WBGene00000084	1.30757003049	0.916482012393	28.9676866701	8.77052189694	2.57354909585	1.03664027299	208.418509066
WBGene00000085	32.936619756	0.147130823102	1.8703279787	5.40171833725	0.733359802391	0.914139451973	0.551790809483
WBGene00000086	519.772910077	6.82600931016	15.760896689	27.4320243117	1.16349229337	174.267370074	144.401460181
WBGene00000088	11.0461247313	0.958370207272	1.54275541844	5.12899420424	19.5436916583	1.32482390141	280.63387884
WBGene00000089	123.599585023	1.02057879937	2.22733001354	8.13638916964	0.396734790779	7.73702159436	16.4836553616
WBGene00000090	83.582738881	266.474078378	92.7084564922	71.6589880752	54.2873775102	94.1495789074	109.696238566
WBGene00000092	267.848537505	6.43818251884	24.0612493709	61.7507529112	69.3266376522	43.0384721594	35.4596585321
WBGene00000093	21.1200579919	54.0646698754	7.15852169723	9.3857783873	5.83703895095	8.76095365938	11.7453010823
WBGene00000094	4.62126661582	58.7855098077	4.26197816812	12.1500215845	5.91146477073	2.13117828585	4.73093545159
WBGene00000095	65.5894738466	4.44549231622	26.1117256623	28.938587126	19.7430540009	56.2279087188	73.2016632577
WBGene00000096	63.6458112234	3.34844044958	1.11532255259	3.67313955482	2.11388312828	1.00109436427	6.7125059545
WBGene00000097	34.9457200881	31.8792860631	46.6758711043	45.8169645175	9.79249547646	77.8889478455	6.46081717819
WBGene00000098	2.25342757235	102.56546347	18.1532961954	1.61564165972	0.646692414084	0.770526439074	1.76183586462
WBGene00000099	1.17184868164	65.8125735152	9.7729037244	0.49649776646	0.378402184017	0.870432622422	2.52509533974
WBGene00000100	98.0825411844	15.2981638855	602.889526034	1514.93703487	10.5233892246	419.335575965	1179.14774708
WBGene00000101	165.892558144	606.493496383	165.30789172	232.399035839	120.219449082	203.946129168	263.496018941
WBGene00000102	328.7661677	191.03771872	45.1886188964	99.9880753701	141.09836941	132.158441106	158.856971038
WBGene00000103	75.2399549011	8.14795817149	62.0071217193	68.3944551368	53.983690498	43.1193814376	63.6258749643
WBGene00000105	126.13963176	13.6634940875	45.5092592248	86.5946048903	60.2925825502	135.419088252	144.758898894
WBGene00000106	28.7300367179	4.23313940301	19.5055438116	46.5591861588	27.4532154141	9.50665183275	27.5596730256
